"id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","yr_built","zipcode","lat","long"
"629000615","20141022T000000","  1,495,000 ","4","3.25","3070","10375","2","No","No View","Average","10","1962","98004","47.5862","-122.198"
"4141800215","20141126T000000","  1,495,000 ","4","3.75","3770","4000","2.5","No","No View","Very Good","9","1916","98122","47.6157","-122.287"
"6448000020","20150129T000000","  1,490,000 ","4","2.5","2420","18480","1","No","No View","Good","9","1967","98004","47.6214","-122.227"
"9522300010","20150331T000000","  1,490,000 ","3","3.5","4560","14608","2","No","Average","Average","12","1990","98034","47.6995","-122.228"
"31000165","20140911T000000","  1,490,000 ","5","3.5","3620","7821","2","No","Average","Average","10","1958","98040","47.5738","-122.215"
"8835770170","20140822T000000","  1,488,000 ","5","6","6880","279968","2","No","Good","Average","12","2007","98045","47.4624","-121.779"
"4139500080","20140718T000000","  1,488,000 ","4","4.25","5180","13077","2","No","Good","Average","12","1998","98006","47.5513","-122.109"
"3885805665","20140612T000000","  1,485,000 ","4","3.75","4030","10800","2","No","No View","Average","10","2006","98033","47.6821","-122.196"
"3885805175","20141001T000000","  1,485,000 ","4","3.25","3730","7200","2","No","No View","Average","10","2006","98033","47.6824","-122.199"
"8835401250","20150506T000000","  1,485,000 ","6","2.75","4430","6440","2","No","Good","Average","10","1964","98118","47.5462","-122.265"
"7582700075","20141002T000000","  1,485,000 ","4","3.5","3930","6120","2","No","No View","Average","10","2007","98105","47.6646","-122.28"
"5450900060","20140923T000000","  1,484,900 ","5","2.5","4570","19252","2","No","No View","Very Good","10","1965","98040","47.5553","-122.22"
"4217401035","20150507T000000","  1,482,500 ","3","2.25","3290","5000","2","No","No View","Average","9","1939","98105","47.6582","-122.28"
"8920100066","20140820T000000","  1,481,000 ","4","3.5","5220","15411","2","No","Good","Average","11","2006","98075","47.592","-122.085"
"3892500070","20140728T000000","  1,480,000 ","3","3.5","4070","26000","2","No","No View","Average","11","1991","98033","47.659","-122.174"
"5700003810","20140723T000000","  1,480,000 ","4","2.25","3920","7200","2","No","No View","Average","10","1928","98144","47.5731","-122.284"
"5167000140","20140711T000000","  1,480,000 ","3","3.25","3700","2264","2","No","No View","Average","11","1998","98033","47.6653","-122.205"
